ID,ORIGINURI,UUIDHISTORY,OCCUPATIONGROUPCODE,CODE,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE,ISLOCALIZED,PREFERREDLABEL,ALTLABELS,DESCRIPTION,CREATEDAT,UPDATEDAT
687671c0ebd2bf665349dc7c,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,"e9915884-9253-4f44-b66c-85ee15bd49cc
baf4e950-0686-4d1d-8efd-b55c90c55a93
24fd8541-da16-4761-a2b8-07ee45d09c94
b7da05d5-5d29-443e-aa7f-2de6b3451552",0110,0110.1,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,oficial del Ejército del Aire,"instructor
piloto militar del Ejército del Aire
instructora
instructora de simulador
jefe de escuadrón
instructor de simulador
jefa de escuadrón
oficial de operaciones
comandante de aeronave","Los oficiales del Ejército del Aire se especializan en vuelo o en funciones en tierra, y supervisan a un grupo de personal del Ejército del Aire. Coordinan el adiestramiento y el bienestar de su grupo, y desempeñan funciones específicas de su ámbito de especialización.",2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc7d,http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,"6df014a1-962d-4982-9a99-485fa21ace42
97867224-7209-46a9-bdc2-d57a3d085cd9
036eb333-b91c-41a7-b5ad-eafd8636f64f
741deb41-8b83-475d-8c86-4e714fd049fc",0110,0110.10,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,teniente del Ejército,"oficial del Ejército del Aire
alférez
alférez de navío
teniente de navío
alférez de fragata guardamarina
oficial de la infantería de marina
teniente de las Fuerzas Armadas
oficial del Ejército de Tierra",Los tenientes comandan a secciones de soldados y los guían en ejercicios de adiestramiento y disciplina. También desempeñan funciones administrativas y ejercen como asesores.,2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc7e,http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,"1e9a0807-5b98-4200-96b0-1356635f006d
661a6453-b104-4c5d-9565-a1a5f0338154
ab3ba361-9246-4ce3-8a6c-b986ec828a40
2e91be82-26db-48f8-8c9e-b3a87e6773b6",0110,0110.11,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,oficial de la Armada,"oficial de infantería de marina
oficial de las Fuerzas Armadas","Los oficiales de la Armada o Marina de guerra comandan misiones en tiempos de conflicto y de paz, y supervisan el adiestramiento y el desarrollo de sus grupos. Supervisan las operaciones de combate de su grupo, así como las misiones de ayuda y las misiones de patrullaje para garantizar el mantenimiento de la paz. Suelen colaborar de forma periódica con el departamento de recursos humanos del HQCS para planificar de la mejor manera posible las necesidades futuras.",2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc7f,http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,"d879ec35-53d6-494a-80e9-8c91cfe2c12d
636484fb-1a16-425c-8a56-362b0165bccc
53ee3d1e-e966-47cf-b991-df411bdb61b9
a04ce143-6d38-43d7-b711-b8721d137670",0110,0110.12,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,comandante,"comandante
jefa de escuadrón
jefe de escuadrón","Los comandantes lideran un grupo especializado en diferentes operaciones, como las escuadrillas, los escuadrones de operaciones terrestres o los grupos de vehículos blindados de combate.",2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc80,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,"3b1d8c6f-7db7-40c1-846f-7e1f9c0f2a81
8e60b194-a31d-46b4-af3e-f8425157f5b6
e3564dd7-1b7f-41c9-a3e5-690f253ccd85
11392d6a-7beb-4255-9750-dfcc624e6699",0110,0110.2,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,oficial de las Fuerzas Armadas,"oficial de la Armada
oficial del Ejército de Tierra
oficial del Ejército del Aire","Los oficiales de las Fuerzas Armadas supervisan operaciones y maniobras, asignan deberes y comandan al personal subordinado. Garantizan que la comunicación dentro de una unidad y de una unidad a otra se desarrolla de forma eficiente y desempeñan funciones de adiestramiento. También manejan y supervisan el mantenimiento de equipos.",2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc81,http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,"8234b8c7-fb59-44fe-b62f-514a0c9c2fbc
4649a77c-5302-4080-b664-2ced453fd1fd
86e07c7d-e126-4f5e-a5b1-efe5610869c9
d47e18f7-76ae-4cef-94c5-56b3d7f42729",0110,0110.3,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,capitán del Ejército/capitana del Ejército,"capitana de corbeta
capitán de corbeta
capitana del Ejército
capitán de batallón
capitana de fragata
capitán del Ejército
capitán de infantería de marina
capitán de fragata
oficial del Ejército
capitana de batallón
capitana de infantería de marina
oficial de las Fuerzas Armadas","Los capitanes del Ejército asisten en la supervisión de grandes unidades de soldados, y desempeñan funciones de planificación y estratégicas en operaciones tácticas. También garantizan el mantenimiento de los equipos y proporcionan apoyo de índole logística, así como asistencia durante las operaciones.",2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc82,http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,"e7b35394-be1a-4f1b-bd53-999622d7290a
a0ea8745-0e9f-4637-8676-35a1dd264660
60942b0c-7d5b-4fec-9dce-9739e91d172e
82782635-cabf-4611-9786-d555e93fa41c",0110,0110.4,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,general del Ejército,"general de división
general de brigada
teniente general
general de las Fuerzas Armadas
oficial del Ejército del Aire
oficial del Ejército de Tierra","Los generales del Ejército comandan grandes divisiones del ejército. Ejercen funciones de gestión, administrativas, así como de planificación y estratégicas. Elaboran políticas para mejorar la defensa militar y general, y garantizan la seguridad nacional.",2025-07-15T15:20:34.221Z,2025-07-15T15:20:34.221Z
687671c0ebd2bf665349dc83,http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,"9fc2a2d2-3f97-4ccb-9b4d-1e327c6e9d81
f5f21808-3bf6-4633-9b1b-8fafd8a3900b
3925d910-3073-4a3f-8c9e-a771d6749188
d836cd16-419b-427f-81b8-6f1956b94365",0110,0110.5,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,comandante del Ejército,"mayor
comandante de aeronave
capitán de corbeta
comandante de las Fuerzas Armadas
capitana de corbeta
oficial del Ejército de Tierra","Los comandantes del Ejército comandan grandes unidades de oficiales y soldados, supervisan su adiestramiento y velan por su bienestar. También supervisan su administración y la gestión de sus equipos.",2025-07-15T15:20:34.233Z,2025-07-15T15:20:34.233Z
687671c0ebd2bf665349dc84,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,"e99ad2a0-570d-482b-9dab-80199697ecad
5de00a64-2dc3-40ac-804d-0c2462a24bbd
ecd581a1-301a-4172-aae6-45b2516e4eba
b4cae094-6195-4131-9037-4fe35a7011f7",0110,0110.6,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,oficial de artillería,"oficial del Ejército de Tierra
oficial de infantería","Los oficiales de artillería ofrecen asistencia en batalla en los campos de la adquisición de blancos, la coordinación de la información, la vigilancia y el armamento. Se encargan de las tácticas y el despliegue de armas sobre el terreno. También dirigen a los soldados.",2025-07-15T15:20:34.234Z,2025-07-15T15:20:34.234Z
687671c0ebd2bf665349dc85,http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,"bf9059ae-d124-4578-8166-431001db229f
c97d8ea0-082c-433c-8a37-e58fda766056
a94d1368-8e08-4ae3-b298-3e46de7d9a52
d52d2d4e-fd44-43a6-953a-0cf737e8bc05",0110,0110.7,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false,general de brigada,"brigadier
oficial del Ejército de Tierra
contraalmirante
oficial del Ejército del Aire","Los generales de brigada comandan grandes unidades de tropas denominadas brigadas, supervisan la planificación estratégica y táctica, así como las operaciones de su brigada. Dirigen la sede de la división de su brigada y se aseguran de que dicha división lleva las operaciones a cabo correctamente tanto en la base como sobre el terreno.",2025-07-15T15:20:34.234Z,2025-07-15T15:20:34.234Z
